Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
6001002,1,1,6,500 millilitre,"Extra virgin olive oil granada, BenBeioololigviasch ES",13.81,24.95,82.86,Order_4191827.pdf
6001004,1,1,6,500 millilitre,"Olijfolie extra virgin olives, BeneoBliivoalogisch ES",13.81,24.95,82.86,Order_4191827.pdf
6001032,1,1,12,39 gram,"Chocolate cups pistachio, Bett'r Biologisch BG",1.46,2.59,17.52,Order_4191827.pdf
6001042,1,1,12,225 gram,"Choco-shells, MJAM Biologisch FR",1.91,3.59,22.92,Order_4191827.pdf
6001384,4,4,12,150 gram,"Cooking chocolate dark, Vivani Biologisch DE",3.48,5.99,167.04,Order_4191827.pdf
6001392,1,1,10,80 gram,"Chocolate bar fine dark 85%, VivBainoilogisch DE",2.05,3.49,20.50,Order_4191827.pdf
6001507,1,1,12,80 gram,"Chocolate bar fine milk, Vivani Biologisch DE",1.76,3.49,21.12,Order_4191827.pdf
6001557,3,3,1,425 gram,"Pita wheat large, TerraSana Biologisch NL",2.28,3.59,6.84,Order_4191827.pdf
32205,6,1,1,170 gram,"Hummus jalapeño, Florentin Biologisch NL",2.15,3.99,2.15,Order_4191830.pdf
32350,2,1,2.600,2.50 kilogram,"Cheddar mature, Belton Farm Biologisch NL",12.83,27.90,33.36,Order_4191830.pdf
1010,6,6,1,125 gram,"Goat-cheese fresh-natural 50+, BBaiosltoiagiasnchsen NL",2.20,3.99,13.20,Order_4191830.pdf
1031,2,2,1,500 millilitre,"Goat-yogurt full, Vliek Biologisch NL",1.20,2.19,2.40,Order_4191830.pdf
1118,24,24,1,1 litre,"Yogurt full, Weerribben Zuivel Biologisch NL",1.50,2.49,36.00,Order_4191830.pdf
1161,5,5,1,100 gram,"Mozzarella 45+, Züger Biologisch CH",0.90,2.39,4.50,Order_4191830.pdf
1178,1,1,1,100 gram,"Mozzarella 45+ lactose free, ZügBeirologisch CH",1.12,2.89,1.12,Order_4191830.pdf
1216,6,6,1,500 millilitre,"Sheep-yogurt, Weerribben SchapBeionlozguiisvcehl NL",2.04,3.49,12.24,Order_4191830.pdf
